,Идентификационный номер,Выжившие,Класс пассажира,Имя,Пол,Возраст,Количество братьев/сестер,Количество родственников,Номер билета,Плата за проезд,Каюта,Порт посадки
262,263,0,1,"Taussig, Mr. Emil",male,1970.0,1,1,110413,79.65,E67,S
263,264,0,1,"Harrison, Mr. William",male,1982.0,0,0,112059,0.0,B94,S
264,265,0,3,"Henry, Miss. Delia",female,1992.3008823529412,0,0,382649,7.75,G6,Q
265,266,0,2,"Reeves, Mr. David",male,1986.0,0,0,C.A. 17248,10.5,G6,S
266,267,0,3,"Panula, Mr. Ernesti Arvid",male,2006.0,4,1,3101295,39.6875,G6,S
267,268,1,3,"Persson, Mr. Ernst Ulrik",male,1997.0,1,0,347083,7.775,G6,S
268,269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,1964.0,0,1,PC 17582,153.4625,C125,S
269,270,1,1,"Bissette, Miss. Amelia",female,1987.0,0,0,PC 17760,135.6333,C99,S
270,271,0,1,"Cairns, Mr. Alexander",male,1992.3008823529412,0,0,113798,31.0,G6,S
271,272,1,3,"Tornquist, Mr. William Henry",male,1997.0,0,0,LINE,0.0,G6,S
272,273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,1981.0,0,1,250644,19.5,G6,S
273,274,0,1,"Natsch, Mr. Charles H",male,1985.0,0,1,PC 17596,29.7,C118,C
274,275,1,3,"Healy, Miss. Hanora ""Nora""",female,1992.3008823529412,0,0,370375,7.75,G6,Q
275,276,1,1,"Andrews, Miss. Kornelia Theodosia",female,1959.0,1,0,13502,77.9583,D7,S
276,277,0,3,"Lindblom, Miss. Augusta Charlotta",female,1977.0,0,0,347073,7.75,G6,S
277,278,0,2,"Parkes, Mr. Francis ""Frank""",male,1992.3008823529412,0,0,239853,0.0,G6,S
278,279,0,3,"Rice, Master. Eric",male,2015.0,4,1,382652,29.125,G6,Q
279,280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,1987.0,1,1,C.A. 2673,20.25,G6,S
280,281,0,3,"Duane, Mr. Frank",male,1957.0,0,0,336439,7.75,G6,Q
281,282,0,3,"Olsson, Mr. Nils Johan Goransson",male,1994.0,0,0,347464,7.8542,G6,S
282,283,0,3,"de Pelsmaeker, Mr. Alfons",male,2006.0,0,0,345778,9.5,G6,S
283,284,1,3,"Dorking, Mr. Edward Arthur",male,2003.0,0,0,A/5. 10482,8.05,G6,S
284,285,0,1,"Smith, Mr. Richard William",male,1992.3008823529412,0,0,113056,26.0,A19,S
285,286,0,3,"Stankovic, Mr. Ivan",male,1989.0,0,0,349239,8.6625,G6,C
286,287,1,3,"de Mulder, Mr. Theodore",male,1992.0,0,0,345774,9.5,G6,S
287,288,0,3,"Naidenoff, Mr. Penko",male,2000.0,0,0,349206,7.8958,G6,S
288,289,1,2,"Hosono, Mr. Masabumi",male,1980.0,0,0,237798,13.0,G6,S
289,290,1,3,"Connolly, Miss. Kate",female,2000.0,0,0,370373,7.75,G6,Q
290,291,1,1,"Barber, Miss. Ellen ""Nellie""",female,1996.0,0,0,19877,78.85,G6,S
291,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,2003.0,1,0,11967,91.0792,B49,C
292,293,0,2,"Levy, Mr. Rene Jacques",male,1986.0,0,0,SC/Paris 2163,12.875,D,C
293,294,0,3,"Haas, Miss. Aloisia",female,1998.0,0,0,349236,8.85,G6,S
294,295,0,3,"Mineff, Mr. Ivan",male,1998.0,0,0,349233,7.8958,G6,S
295,296,0,1,"Lewy, Mr. Ervin G",male,1992.3008823529412,0,0,PC 17612,27.7208,G6,C
296,297,0,3,"Hanna, Mr. Mansour",male,1998.5,0,0,2693,7.2292,G6,C
297,298,0,1,"Allison, Miss. Helen Loraine",female,2020.0,1,2,113781,151.55,C22 C26,S
298,299,1,1,"Saalfeld, Mr. Adolphe",male,1992.3008823529412,0,0,19988,30.5,C106,S
299,300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,1972.0,0,1,PC 17558,247.5208,B58 B60,C
300,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,1992.3008823529412,0,0,9234,7.75,G6,Q
301,302,1,3,"McCoy, Mr. Bernard",male,1992.3008823529412,2,0,367226,23.25,G6,Q
302,303,0,3,"Johnson, Mr. William Cahoone Jr",male,2003.0,0,0,LINE,0.0,G6,S
303,304,1,2,"Keane, Miss. Nora A",female,1992.3008823529412,0,0,226593,12.35,E101,Q
304,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,1992.3008823529412,0,0,A/5 2466,8.05,G6,S
305,306,1,1,"Allison, Master. Hudson Trevor",male,2021.08,1,2,113781,151.55,C22 C26,S
306,307,1,1,"Fleming, Miss. Margaret",female,1992.3008823529412,0,0,17421,110.8833,G6,C
307,308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,2005.0,1,0,PC 17758,108.9,C65,C
308,309,0,2,"Abelson, Mr. Samuel",male,1992.0,1,0,P/PP 3381,24.0,G6,C
309,310,1,1,"Francatelli, Miss. Laura Mabel",female,1992.0,0,0,PC 17485,56.9292,E36,C
310,311,1,1,"Hays, Miss. Margaret Bechstein",female,1998.0,0,0,11767,83.1583,C54,C
311,312,1,1,"Ryerson, Miss. Emily Borie",female,2004.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
312,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,1996.0,1,1,250651,26.0,G6,S
313,314,0,3,"Hendekovic, Mr. Ignjac",male,1994.0,0,0,349243,7.8958,G6,S
314,315,0,2,"Hart, Mr. Benjamin",male,1979.0,1,1,F.C.C. 13529,26.25,G6,S
315,316,1,3,"Nilsson, Miss. Helmina Josefina",female,1996.0,0,0,347470,7.8542,G6,S
316,317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,1998.0,1,0,244367,26.0,G6,S
317,318,0,2,"Moraweck, Dr. Ernest",male,1968.0,0,0,29011,14.0,G6,S
318,319,1,1,"Wick, Miss. Mary Natalie",female,1991.0,0,2,36928,164.8667,C7,S
319,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,1982.0,1,1,16966,134.5,E34,C
320,321,0,3,"Dennis, Mr. Samuel",male,2000.0,0,0,A/5 21172,7.25,G6,S
321,322,0,3,"Danoff, Mr. Yoto",male,1995.0,0,0,349219,7.8958,G6,S
322,323,1,2,"Slayter, Miss. Hilda Mary",female,1992.0,0,0,234818,12.35,G6,Q
323,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,2000.0,1,1,248738,29.0,G6,S
324,325,0,3,"Sage, Mr. George John Jr",male,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
325,326,1,1,"Young, Miss. Marie Grice",female,1986.0,0,0,PC 17760,135.6333,C32,C
326,327,0,3,"Nysveen, Mr. Johan Hansen",male,1961.0,0,0,345364,6.2375,G6,S
327,328,1,2,"Ball, Mrs. (Ada E Hall)",female,1986.0,0,0,28551,13.0,D,S
328,329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,1991.0,1,1,363291,20.525,G6,S
329,330,1,1,"Hippach, Miss. Jean Gertrude",female,2006.0,0,1,111361,57.9792,B18,C
330,331,1,3,"McCoy, Miss. Agnes",female,1992.3008823529412,2,0,367226,23.25,G6,Q
331,332,0,1,"Partner, Mr. Austen",male,1976.5,0,0,113043,28.5,C124,S
332,333,0,1,"Graham, Mr. George Edward",male,1984.0,0,1,PC 17582,153.4625,C91,S
333,334,0,3,"Vander Planke, Mr. Leo Edmondus",male,2006.0,2,0,345764,18.0,G6,S
334,335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,1992.3008823529412,1,0,PC 17611,133.65,G6,S
335,336,0,3,"Denkoff, Mr. Mitto",male,1992.3008823529412,0,0,349225,7.8958,G6,S
336,337,0,1,"Pears, Mr. Thomas Clinton",male,1993.0,1,0,113776,66.6,C2,S
337,338,1,1,"Burns, Miss. Elizabeth Margaret",female,1981.0,0,0,16966,134.5,E40,C
338,339,1,3,"Dahl, Mr. Karl Edwart",male,1977.0,0,0,7598,8.05,G6,S
339,340,0,1,"Blackwell, Mr. Stephen Weart",male,1977.0,0,0,113784,35.5,T,S
340,341,1,2,"Navratil, Master. Edmond Roger",male,2020.0,1,1,230080,26.0,F2,S
341,342,1,1,"Fortune, Miss. Alice Elizabeth",female,1998.0,3,2,19950,263.0,C23 C25 C27,S
342,343,0,2,"Collander, Mr. Erik Gustaf",male,1994.0,0,0,248740,13.0,G6,S
343,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,1997.0,0,0,244361,13.0,G6,S
344,345,0,2,"Fox, Mr. Stanley Hubert",male,1986.0,0,0,229236,13.0,G6,S
345,346,1,2,"Brown, Miss. Amelia ""Mildred""",female,1998.0,0,0,248733,13.0,F33,S
346,347,1,2,"Smith, Miss. Marion Elsie",female,1982.0,0,0,31418,13.0,G6,S
347,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,1992.3008823529412,1,0,386525,16.1,G6,S
348,349,1,3,"Coutts, Master. William Loch ""William""",male,2019.0,1,1,C.A. 37671,15.9,G6,S
349,350,0,3,"Dimic, Mr. Jovan",male,1980.0,0,0,315088,8.6625,G6,S
350,351,0,3,"Odahl, Mr. Nils Martin",male,1999.0,0,0,7267,9.225,G6,S
351,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,1992.3008823529412,0,0,113510,35.0,C128,S
352,353,0,3,"Elias, Mr. Tannous",male,2007.0,1,1,2695,7.2292,G6,C
353,354,0,3,"Arnold-Franchi, Mr. Josef",male,1997.0,1,0,349237,17.8,G6,S
354,355,0,3,"Yousif, Mr. Wazli",male,1992.3008823529412,0,0,2647,7.225,G6,C
355,356,0,3,"Vanden Steen, Mr. Leo Peter",male,1994.0,0,0,345783,9.5,G6,S
356,357,1,1,"Bowerman, Miss. Elsie Edith",female,2000.0,0,1,113505,55.0,E33,S
357,358,0,2,"Funk, Miss. Annie Clemmer",female,1984.0,0,0,237671,13.0,G6,S
358,359,1,3,"McGovern, Miss. Mary",female,1992.3008823529412,0,0,330931,7.8792,G6,Q
359,360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,1992.3008823529412,0,0,330980,7.8792,G6,Q
360,361,0,3,"Skoog, Mr. Wilhelm",male,1982.0,1,4,347088,27.9,G6,S
361,362,0,2,"del Carlo, Mr. Sebastiano",male,1993.0,1,0,SC/PARIS 2167,27.7208,G6,C
362,363,0,3,"Barbara, Mrs. (Catherine David)",female,1977.0,0,1,2691,14.4542,G6,C
363,364,0,3,"Asim, Mr. Adola",male,1987.0,0,0,SOTON/O.Q. 3101310,7.05,G6,S
364,365,0,3,"O'Brien, Mr. Thomas",male,1992.3008823529412,1,0,370365,15.5,G6,Q
365,366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,1992.0,0,0,C 7076,7.25,G6,S
366,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,1962.0,1,0,110813,75.25,D37,C
367,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,1992.3008823529412,0,0,2626,7.2292,G6,C
368,369,1,3,"Jermyn, Miss. Annie",female,1992.3008823529412,0,0,14313,7.75,G6,Q
369,370,1,1,"Aubart, Mme. Leontine Pauline",female,1998.0,0,0,PC 17477,69.3,B35,C
370,371,1,1,"Harder, Mr. George Achilles",male,1997.0,1,0,11765,55.4417,E50,C
371,372,0,3,"Wiklund, Mr. Jakob Alfred",male,2004.0,1,0,3101267,6.4958,G6,S
372,373,0,3,"Beavan, Mr. William Thomas",male,2003.0,0,0,323951,8.05,G6,S
373,374,0,1,"Ringhini, Mr. Sante",male,2000.0,0,0,PC 17760,135.6333,G6,C
374,375,0,3,"Palsson, Miss. Stina Viola",female,2019.0,3,1,349909,21.075,G6,S
375,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,1992.3008823529412,1,0,PC 17604,82.1708,G6,C
376,377,1,3,"Landergren, Miss. Aurora Adelia",female,2000.0,0,0,C 7077,7.25,G6,S
377,378,0,1,"Widener, Mr. Harry Elkins",male,1995.0,0,2,113503,211.5,C82,C
378,379,0,3,"Betros, Mr. Tannous",male,2002.0,0,0,2648,4.0125,G6,C
379,380,0,3,"Gustafsson, Mr. Karl Gideon",male,2003.0,0,0,347069,7.775,G6,S
380,381,1,1,"Bidois, Miss. Rosalie",female,1980.0,0,0,PC 17757,227.525,G6,C
381,382,1,3,"Nakid, Miss. Maria (""Mary"")",female,2021.0,0,2,2653,15.7417,G6,C
382,383,0,3,"Tikkanen, Mr. Juho",male,1990.0,0,0,STON/O 2. 3101293,7.925,G6,S
383,384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,1987.0,1,0,113789,52.0,G6,S
384,385,0,3,"Plotcharsky, Mr. Vasil",male,1992.3008823529412,0,0,349227,7.8958,G6,S
385,386,0,2,"Davies, Mr. Charles Henry",male,2004.0,0,0,S.O.C. 14879,73.5,G6,S
386,387,0,3,"Goodwin, Master. Sidney Leonard",male,2021.0,5,2,CA 2144,46.9,G6,S
387,388,1,2,"Buss, Miss. Kate",female,1986.0,0,0,27849,13.0,G6,S
388,389,0,3,"Sadlier, Mr. Matthew",male,1992.3008823529412,0,0,367655,7.7292,G6,Q
389,390,1,2,"Lehmann, Miss. Bertha",female,2005.0,0,0,SC 1748,12.0,G6,C
390,391,1,1,"Carter, Mr. William Ernest",male,1986.0,1,2,113760,120.0,B96 B98,S
391,392,1,3,"Jansson, Mr. Carl Olof",male,2001.0,0,0,350034,7.7958,G6,S
392,393,0,3,"Gustafsson, Mr. Johan Birger",male,1994.0,2,0,3101277,7.925,G6,S
393,394,1,1,"Newell, Miss. Marjorie",female,1999.0,1,0,35273,113.275,D36,C
394,395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,1998.0,0,2,PP 9549,16.7,G6,S
395,396,0,3,"Johansson, Mr. Erik",male,2000.0,0,0,350052,7.7958,G6,S
396,397,0,3,"Olsson, Miss. Elina",female,1991.0,0,0,350407,7.8542,G6,S
397,398,0,2,"McKane, Mr. Peter David",male,1976.0,0,0,28403,26.0,G6,S
398,399,0,2,"Pain, Dr. Alfred",male,1999.0,0,0,244278,10.5,G6,S
399,400,1,2,"Trout, Mrs. William H (Jessie L)",female,1994.0,0,0,240929,12.65,G6,S
400,401,1,3,"Niskanen, Mr. Juha",male,1983.0,0,0,STON/O 2. 3101289,7.925,G6,S
401,402,0,3,"Adams, Mr. John",male,1996.0,0,0,341826,8.05,G6,S
402,403,0,3,"Jussila, Miss. Mari Aina",female,2001.0,1,0,4137,9.825,G6,S
403,404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,1994.0,1,0,STON/O2. 3101279,15.85,G6,S
404,405,0,3,"Oreskovic, Miss. Marija",female,2002.0,0,0,315096,8.6625,G6,S
405,406,0,2,"Gale, Mr. Shadrach",male,1988.0,1,0,28664,21.0,G6,S
406,407,0,3,"Widegren, Mr. Carl/Charles Peter",male,1971.0,0,0,347064,7.75,G6,S
407,408,1,2,"Richards, Master. William Rowe",male,2019.0,1,1,29106,18.75,G6,S
408,409,0,3,"Birkeland, Mr. Hans Martin Monsen",male,2001.0,0,0,312992,7.775,G6,S
409,410,0,3,"Lefebre, Miss. Ida",female,1992.3008823529412,3,1,4133,25.4667,G6,S
410,411,0,3,"Sdycoff, Mr. Todor",male,1992.3008823529412,0,0,349222,7.8958,G6,S
411,412,0,3,"Hart, Mr. Henry",male,1992.3008823529412,0,0,394140,6.8583,G6,Q
412,413,1,1,"Minahan, Miss. Daisy E",female,1989.0,1,0,19928,90.0,C78,Q
413,414,0,2,"Cunningham, Mr. Alfred Fleming",male,1992.3008823529412,0,0,239853,0.0,G6,S
414,415,1,3,"Sundman, Mr. Johan Julian",male,1978.0,0,0,STON/O 2. 3101269,7.925,G6,S
415,416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,1992.3008823529412,0,0,343095,8.05,G6,S
416,417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,1988.0,1,1,28220,32.5,G6,S
417,418,1,2,"Silven, Miss. Lyyli Karoliina",female,2004.0,0,2,250652,13.0,G6,S
418,419,0,2,"Matthews, Mr. William John",male,1992.0,0,0,28228,13.0,G6,S
419,420,0,3,"Van Impe, Miss. Catharina",female,2012.0,0,2,345773,24.15,G6,S
420,421,0,3,"Gheorgheff, Mr. Stanio",male,1992.3008823529412,0,0,349254,7.8958,G6,C
421,422,0,3,"Charters, Mr. David",male,2001.0,0,0,A/5. 13032,7.7333,G6,Q
422,423,0,3,"Zimmerman, Mr. Leo",male,1993.0,0,0,315082,7.875,G6,S
423,424,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,1994.0,1,1,347080,14.4,G6,S
424,425,0,3,"Rosblom, Mr. Viktor Richard",male,2004.0,1,1,370129,20.2125,G6,S
425,426,0,3,"Wiseman, Mr. Phillippe",male,1992.3008823529412,0,0,A/4. 34244,7.25,G6,S
426,427,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,1994.0,1,0,2003,26.0,G6,S
427,428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,2003.0,0,0,250655,26.0,G6,S
428,429,0,3,"Flynn, Mr. James",male,1992.3008823529412,0,0,364851,7.75,G6,Q
429,430,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,1990.0,0,0,SOTON/O.Q. 392078,8.05,E10,S
430,431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,1994.0,0,0,110564,26.55,C52,S
431,432,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,1992.3008823529412,1,0,376564,16.1,G6,S
432,433,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,1980.0,1,0,SC/AH 3085,26.0,G6,S
433,434,0,3,"Kallio, Mr. Nikolai Erland",male,2005.0,0,0,STON/O 2. 3101274,7.125,G6,S
434,435,0,1,"Silvey, Mr. William Baird",male,1972.0,1,0,13507,55.9,E44,S
435,436,1,1,"Carter, Miss. Lucile Polk",female,2008.0,1,2,113760,120.0,B96 B98,S
436,437,0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,2001.0,2,2,W./C. 6608,34.375,G6,S
437,438,1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,1998.0,2,3,29106,18.75,G6,S
438,439,0,1,"Fortune, Mr. Mark",male,1958.0,1,4,19950,263.0,C23 C25 C27,S
439,440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,1991.0,0,0,C.A. 18723,10.5,G6,S
440,441,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,1977.0,1,1,F.C.C. 13529,26.25,G6,S
441,442,0,3,"Hampe, Mr. Leon",male,2002.0,0,0,345769,9.5,G6,S
442,443,0,3,"Petterson, Mr. Johan Emil",male,1997.0,1,0,347076,7.775,G6,S
443,444,1,2,"Reynaldo, Ms. Encarnacion",female,1994.0,0,0,230434,13.0,G6,S
444,445,1,3,"Johannesen-Bratthammer, Mr. Bernt",male,1992.3008823529412,0,0,65306,8.1125,G6,S
445,446,1,1,"Dodge, Master. Washington",male,2018.0,0,2,33638,81.8583,A34,S
446,447,1,2,"Mellinger, Miss. Madeleine Violet",female,2009.0,0,1,250644,19.5,G6,S
447,448,1,1,"Seward, Mr. Frederic Kimber",male,1988.0,0,0,113794,26.55,G6,S
448,449,1,3,"Baclini, Miss. Marie Catherine",female,2017.0,2,1,2666,19.2583,G6,C
449,450,1,1,"Peuchen, Major. Arthur Godfrey",male,1970.0,0,0,113786,30.5,C104,S
450,451,0,2,"West, Mr. Edwy Arthur",male,1986.0,1,2,C.A. 34651,27.75,G6,S
451,452,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,1992.3008823529412,1,0,65303,19.9667,G6,S
452,453,0,1,"Foreman, Mr. Benjamin Laventall",male,1992.0,0,0,113051,27.75,C111,C
453,454,1,1,"Goldenberg, Mr. Samuel L",male,1973.0,1,0,17453,89.1042,C92,C
454,455,0,3,"Peduzzi, Mr. Joseph",male,1992.3008823529412,0,0,A/5 2817,8.05,G6,S
455,456,1,3,"Jalsevac, Mr. Ivan",male,1993.0,0,0,349240,7.8958,G6,C
456,457,0,1,"Millet, Mr. Francis Davis",male,1957.0,0,0,13509,26.55,E38,S
457,458,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,1992.3008823529412,1,0,17464,51.8625,D21,S
458,459,1,2,"Toomey, Miss. Ellen",female,1972.0,0,0,F.C.C. 13531,10.5,G6,S
459,460,0,3,"O'Connor, Mr. Maurice",male,1992.3008823529412,0,0,371060,7.75,G6,Q
460,461,1,1,"Anderson, Mr. Harry",male,1974.0,0,0,19952,26.55,E12,S
461,462,0,3,"Morley, Mr. William",male,1988.0,0,0,364506,8.05,G6,S
462,463,0,1,"Gee, Mr. Arthur H",male,1975.0,0,0,111320,38.5,E63,S
463,464,0,2,"Milling, Mr. Jacob Christian",male,1974.0,0,0,234360,13.0,G6,S
464,465,0,3,"Maisner, Mr. Simon",male,1992.3008823529412,0,0,A/S 2816,8.05,G6,S
465,466,0,3,"Goncalves, Mr. Manuel Estanslas",male,1984.0,0,0,SOTON/O.Q. 3101306,7.05,G6,S
466,467,0,2,"Campbell, Mr. William",male,1992.3008823529412,0,0,239853,0.0,G6,S
467,468,0,1,"Smart, Mr. John Montgomery",male,1966.0,0,0,113792,26.55,G6,S
468,469,0,3,"Scanlan, Mr. James",male,1992.3008823529412,0,0,36209,7.725,G6,Q
469,470,1,3,"Baclini, Miss. Helene Barbara",female,2021.25,2,1,2666,19.2583,G6,C
470,471,0,3,"Keefe, Mr. Arthur",male,1992.3008823529412,0,0,323592,7.25,G6,S
471,472,0,3,"Cacic, Mr. Luka",male,1984.0,0,0,315089,8.6625,G6,S
472,473,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,1989.0,1,2,C.A. 34651,27.75,G6,S
473,474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,1999.0,0,0,SC/AH Basle 541,13.7917,D,C
474,475,0,3,"Strandberg, Miss. Ida Sofia",female,2000.0,0,0,7553,9.8375,G6,S
475,476,0,1,"Clifford, Mr. George Quincy",male,1992.3008823529412,0,0,110465,52.0,A14,S
476,477,0,2,"Renouf, Mr. Peter Henry",male,1988.0,1,0,31027,21.0,G6,S
477,478,0,3,"Braund, Mr. Lewis Richard",male,1993.0,1,0,3460,7.0458,G6,S
478,479,0,3,"Karlsson, Mr. Nils August",male,2000.0,0,0,350060,7.5208,G6,S
479,480,1,3,"Hirvonen, Miss. Hildur E",female,2020.0,0,1,3101298,12.2875,G6,S
480,481,0,3,"Goodwin, Master. Harold Victor",male,2013.0,5,2,CA 2144,46.9,G6,S
481,482,0,2,"Frost, Mr. Anthony Wood ""Archie""",male,1992.3008823529412,0,0,239854,0.0,G6,S
482,483,0,3,"Rouse, Mr. Richard Henry",male,1972.0,0,0,A/5 3594,8.05,G6,S
483,484,1,3,"Turkula, Mrs. (Hedwig)",female,1959.0,0,0,4134,9.5875,G6,S
484,485,1,1,"Bishop, Mr. Dickinson H",male,1997.0,1,0,11967,91.0792,B49,C
485,486,0,3,"Lefebre, Miss. Jeannie",female,1992.3008823529412,3,1,4133,25.4667,G6,S
486,487,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,1987.0,1,0,19943,90.0,C93,S
487,488,0,1,"Kent, Mr. Edward Austin",male,1964.0,0,0,11771,29.7,B37,C
488,489,0,3,"Somerton, Mr. Francis William",male,1992.0,0,0,A.5. 18509,8.05,G6,S
489,490,1,3,"Coutts, Master. Eden Leslie ""Neville""",male,2013.0,1,1,C.A. 37671,15.9,G6,S
490,491,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,1992.3008823529412,1,0,65304,19.9667,G6,S
491,492,0,3,"Windelov, Mr. Einar",male,2001.0,0,0,SOTON/OQ 3101317,7.25,G6,S
492,493,0,1,"Molson, Mr. Harry Markland",male,1967.0,0,0,113787,30.5,C30,S
493,494,0,1,"Artagaveytia, Mr. Ramon",male,1951.0,0,0,PC 17609,49.5042,G6,C
494,495,0,3,"Stanley, Mr. Edward Roland",male,2001.0,0,0,A/4 45380,8.05,G6,S
495,496,0,3,"Yousseff, Mr. Gerious",male,1992.3008823529412,0,0,2627,14.4583,G6,C
496,497,1,1,"Eustis, Miss. Elizabeth Mussey",female,1968.0,1,0,36947,78.2667,D20,C
497,498,0,3,"Shellard, Mr. Frederick William",male,1992.3008823529412,0,0,C.A. 6212,15.1,G6,S
498,499,0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,1997.0,1,2,113781,151.55,C22 C26,S
499,500,0,3,"Svensson, Mr. Olof",male,1998.0,0,0,350035,7.7958,G6,S
500,501,0,3,"Calic, Mr. Petar",male,2005.0,0,0,315086,8.6625,G6,S
501,502,0,3,"Canavan, Miss. Mary",female,2001.0,0,0,364846,7.75,G6,Q
502,503,0,3,"O'Sullivan, Miss. Bridget Mary",female,1992.3008823529412,0,0,330909,7.6292,G6,Q
503,504,0,3,"Laitinen, Miss. Kristina Sofia",female,1985.0,0,0,4135,9.5875,G6,S
504,505,1,1,"Maioni, Miss. Roberta",female,2006.0,0,0,110152,86.5,B79,S
505,506,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,2004.0,1,0,PC 17758,108.9,C65,C
506,507,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,1989.0,0,2,26360,26.0,G6,S
507,508,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,1992.3008823529412,0,0,111427,26.55,G6,S
508,509,0,3,"Olsen, Mr. Henry Margido",male,1994.0,0,0,C 4001,22.525,G6,S
509,510,1,3,"Lang, Mr. Fang",male,1996.0,0,0,1601,56.4958,G6,S
510,511,1,3,"Daly, Mr. Eugene Patrick",male,1993.0,0,0,382651,7.75,G6,Q
511,512,0,3,"Webber, Mr. James",male,1992.3008823529412,0,0,SOTON/OQ 3101316,8.05,G6,S
512,513,1,1,"McGough, Mr. James Robert",male,1986.0,0,0,PC 17473,26.2875,E25,S
513,514,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,1968.0,1,0,PC 17603,59.4,G6,C
514,515,0,3,"Coleff, Mr. Satio",male,1998.0,0,0,349209,7.4958,G6,S
515,516,0,1,"Walker, Mr. William Anderson",male,1975.0,0,0,36967,34.0208,D46,S
516,517,1,2,"Lemore, Mrs. (Amelia Milley)",female,1988.0,0,0,C.A. 34260,10.5,F33,S
517,518,0,3,"Ryan, Mr. Patrick",male,1992.3008823529412,0,0,371110,24.15,G6,Q
518,519,1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,1986.0,1,0,226875,26.0,G6,S
519,520,0,3,"Pavlovic, Mr. Stefo",male,1990.0,0,0,349242,7.8958,G6,S
520,521,1,1,"Perreault, Miss. Anne",female,1992.0,0,0,12749,93.5,B73,S
521,522,0,3,"Vovk, Mr. Janko",male,2000.0,0,0,349252,7.8958,G6,S
522,523,0,3,"Lahoud, Mr. Sarkis",male,1992.3008823529412,0,0,2624,7.225,G6,C
523,524,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,1978.0,0,1,111361,57.9792,B18,C
524,525,0,3,"Kassem, Mr. Fared",male,1992.3008823529412,0,0,2700,7.2292,G6,C
525,526,0,3,"Farrell, Mr. James",male,1981.5,0,0,367232,7.75,G6,Q
526,527,1,2,"Ridsdale, Miss. Lucy",female,1972.0,0,0,W./C. 14258,10.5,G6,S
